X,Y,Z,Hole ID,CU_pct,AU_gpt,DENSITY
445122.277394,493714.275920,2952.437796,WP004,0.16,0.37,3.14
445120.867540,493714.164962,2951.023583,WP004,0.09,0.09,3.14
445119.457686,493714.054004,2949.609369,WP004,0.51,0.33,3.19
445118.047832,493713.943046,2948.195156,WP004,0.33,0.22,3.11
445116.637978,493713.832088,2946.780942,WP004,0.29,1.79,3.14
445115.228124,493713.721130,2945.366729,WP004,1.12,1.33,3.2
445113.818270,493713.610172,2943.952515,WP004,0.54,0.74,3.17
445112.408416,493713.499214,2942.538301,WP004,0.37,0.32,3.13
445110.998562,493713.388256,2941.124088,WP004,0.48,0.55,3.13
445109.588708,493713.277299,2939.709874,WP004,0.5,0.43,3.12
445108.178854,493713.166341,2938.295661,WP004,0.63,1.36,3.2
445106.769000,493713.055383,2936.881447,WP004,0.68,0.82,3.15
445105.359146,493712.944425,2935.467234,WP004,1.03,1.32,3.17
445103.949292,493712.833467,2934.053020,WP004,1.71,3.96,3.16
445102.539438,493712.722509,2932.638806,WP004,0.42,3.37,3.23
445101.129584,493712.611551,2931.224593,WP004,0.32,4.37,3.43
445099.719730,493712.500593,2929.810379,WP004,0.46,1.47,3.14
445098.309876,493712.389635,2928.396166,WP004,0.69,1.42,3.19
445096.900022,493712.278677,2926.981952,WP004,0.41,2.11,3.16
445095.490168,493712.167719,2925.567739,WP004,0.46,0.37,3.15
445094.080314,493712.056761,2924.153525,WP004,0.54,0.23,3.15
445092.670460,493711.945803,2922.739312,WP004,0.43,0.36,3.15
445091.260606,493711.834846,2921.325098,WP004,0.39,0.81,3.16
445089.850752,493711.723888,2919.910884,WP004,0.28,0.45,3.13
445088.440898,493711.612930,2918.496671,WP004,0.21,1.14,3.2
445087.031044,493711.501972,2917.082457,WP004,0.32,2.93,3.14
445085.621190,493711.391014,2915.668244,WP004,0.34,0.91,3.17
445084.211336,493711.280056,2914.254030,WP004,0.29,0.99,3.16
445082.801482,493711.169098,2912.839817,WP004,0.28,0.85,3.15
445081.391628,493711.058140,2911.425603,WP004,0.3,1.11,3.15
445079.981774,493710.947182,2910.011389,WP004,0.21,3.06,3.06
445078.571920,493710.836224,2908.597176,WP004,0.33,0.86,3.12
445077.162066,493710.725266,2907.182962,WP004,0.44,1.03,3.12
445075.752212,493710.614308,2905.768749,WP004,0.32,0.36,3.14
445074.342358,493710.503351,2904.354535,WP004,0.43,1.15,3.12
445072.932504,493710.392393,2902.940322,WP004,0.32,0.49,3.13
445071.522650,493710.281435,2901.526108,WP004,0.23,0.52,3.15
